t,x,y,z
14610,-10.484,5216.768,-4432.543
14640,-190.326,5122.149,-4537.668
14670,-369.954,5021.812,-4637.714
14700,-549.170,4915.871,-4732.570
14730,-727.773,4804.444,-4822.129
14760,-905.564,4687.657,-4906.293
14790,-1082.345,4565.641,-4984.968
14820,-1257.919,4438.532,-5058.068
14850,-1432.090,4306.473,-5125.510
14880,-1604.663,4169.612,-5187.221
14910,-1775.448,4028.101,-5243.131
14940,-1944.253,3882.100,-5293.179
14970,-2110.891,3731.771,-5337.310
15000,-2275.175,3577.282,-5375.474
15030,-2436.924,3418.805,-5407.630
15060,-2595.957,3256.519,-5433.742
15090,-2752.096,3090.602,-5453.780
15120,-2905.168,2921.242,-5467.723
15150,-3055.003,2748.626,-5475.556
15180,-3201.433,2572.947,-5477.269
15210,-3344.295,2394.400,-5472.861
15240,-3483.430,2213.185,-5462.336
15270,-3618.683,2029.503,-5445.707
15300,-3749.904,1843.560,-5422.991
15330,-3876.944,1655.562,-5394.214
15360,-3999.664,1465.719,-5359.408
15390,-4117.925,1274.242,-5318.610
15420,-4231.596,1081.344,-5271.868
15450,-4340.549,887.241,-5219.231
15480,-4444.663,692.149,-5160.758
15510,-4543.821,496.285,-5096.515
15540,-4637.911,299.867,-5026.572
15570,-4726.829,103.115,-4951.007
15600,-4810.474,-93.751,-4869.903
15630,-4888.752,-290.514,-4783.351
15660,-4961.576,-486.952,-4691.447
15690,-5028.862,-682.847,-4594.293
15720,-5090.536,-877.979,-4491.996
15750,-5146.526,-1072.132,-4384.670
15780,-5196.771,-1265.087,-4272.435
15810,-5241.212,-1456.630,-4155.415
15840,-5279.799,-1646.546,-4033.741
15870,-5312.488,-1834.622,-3907.548
15900,-5339.241,-2020.648,-3776.976
15930,-5360.028,-2204.417,-3642.172
15960,-5374.823,-2385.721,-3503.285
15990,-5383.608,-2564.358,-3360.470
16020,-5386.374,-2740.127,-3213.887
16050,-5383.116,-2912.832,-3063.699
16080,-5373.836,-3082.278,-2910.075
16110,-5358.543,-3248.276,-2753.185
16140,-5337.254,-3410.639,-2593.206
16170,-5309.991,-3569.184,-2430.315
16200,-5276.784,-3723.734,-2264.697
16230,-5237.668,-3874.114,-2096.536
16260,-5192.686,-4020.156,-1926.020
16290,-5141.889,-4161.695,-1753.341
16320,-5085.331,-4298.571,-1578.692
16350,-5023.075,-4430.631,-1402.269
16380,-4955.190,-4557.727,-1224.270
16410,-4881.751,-4679.713,-1044.895
16440,-4802.840,-4796.454,-864.346
16470,-4718.544,-4907.818,-682.825
16500,-4628.958,-5013.679,-500.536
16530,-4534.181,-5113.917,-317.684
16560,-4434.318,-5208.420,-134.475
16590,-4329.482,-5297.081,48.885
16620,-4219.789,-5379.800,232.190
16650,-4105.362,-5456.484,415.235
16680,-3986.330,-5527.045,597.811
16710,-3862.824,-5591.405,779.716
16740,-3734.983,-5649.491,960.743
16770,-3602.952,-5701.237,1140.688
16800,-3466.877,-5746.585,1319.350
16830,-3326.911,-5785.484,1496.527
16860,-3183.211,-5817.889,1672.020
16890,-3035.938,-5843.765,1845.631
16920,-2885.258,-5863.081,2017.164
16950,-2731.340,-5875.817,2186.427
16980,-2574.356,-5881.959,2353.229
17010,-2414.483,-5881.498,2517.383
17040,-2251.899,-5874.436,2678.703
17070,-2086.788,-5860.781,2837.008
